title,category
Paid for Monthly rent annual payment,Bills
Purchased Uber ride from petrol pump,Transport
Refueled with petrol pump Flight ticket,Transport
Grabbed Pastry after work,Food
Diesel for June,Transport
Purchased Gaming subscription with friends,Entertainment
Recharged Ride share from Tootle,Transport
Fried chicken for December,Food
Paid for Blood test from diagnostic center,Health
Bought Furniture piece from boutique,Shopping
Breakfast at KFC Rice bag,Food
Used local garage Petrol,Transport
Went for Dental treatment from pharmacy,Health
Lunch at Domino's Taco,Food
Used local garage Cab fare,Transport
Paid for Arcade tokens family plan,Entertainment
Burger - Starbucks,Food
Purchased Uber ride to hospital,Transport
Socks for January,Shopping
Purchased Concert ticket weekend outing,Entertainment
Paid for Cab fare from local garage,Transport
Paid for boutique Electronics gadget,Shopping
Had Biryani from cafe,Food
Paid for Toll fee to home,Transport
Paid for Cinema ticket from Steam,Entertainment
Registered for Project materials annual fee,Education
Power bank for June,Shopping
Visited for diagnostic center Medicine,Health
Booked Netflix subscription annual plan,Entertainment
Purchased Amazon Prime membership monthly plan,Entertainment
Refueled with Bike repair,Transport
Chicken curry - food court,Food
Purchased new shopping center Shirt,Shopping
Subscribed to Netflix Music album,Entertainment
Monthly landlord Society fee,Bills
Paid for Vaccination from wellness center,Health
Bought Spotify Music album,Entertainment
Health insurance premium for March,Health
Purchased Disney+ subscription from Steam,Entertainment
Medicine - pharmacy,Health
Taco for August,Food
Dinner at Rice bag from hotel restaurant,Food
Dinner at Rice bag,Food
Purchased new Sunglasses from local mall,Shopping
Concert ticket annual plan,Entertainment
Bought local mall Laptop bag,Shopping
Booked Movie ticket from PlayStation,Entertainment
Breakfast at McDonald's Fried chicken,Food
Cleared Cable TV bill for the house,Bills
Visited for Gym membership checkup,Health
Purchased bookstore College tuition,Education
Bought Amusement park ticket from PlayStation,Entertainment
Booked Uber Bike repair,Transport
Bought Medical bill from hospital,Health
Purchased Video game purchase,Entertainment
Steam purchase - Spotify,Entertainment
Purchased new boutique Socks,Shopping
Bedsheet from shopping center,Shopping
Visited for X-ray monthly,Health
Paid bookstore Programming course,Education
Sweater for college,Shopping
Booked PlayStation Plus,Entertainment
Sunglasses from local mall,Shopping
Bought Movie ticket from Xbox Game Pass,Entertainment
Paid for Scooter rental to college,Transport
Paid for Society fee from landlord,Bills
Grabbed Fruits from hotel restaurant,Food
Bought Backpack,Shopping
Purchased Bike fuel from Uber,Transport
Recharged Tootle Diesel,Transport
Flight ticket for February,Transport
Paid for Phone case from online store,Shopping
Went for Surgery cost from wellness center,Health
Got a new Sunglasses from outlet store,Shopping
Dinner at Subway Taco,Food
Petrol for November,Transport
Took a Taxi fare for weekend trip,Transport
Waffles - McDonald's,Food
Grabbed Coffee takeaway,Food
Bought Sneakers for college,Shopping
Got a new Furniture piece for office,Shopping
Visited for Medicine from local clinic,Health
Booked Blood test monthly,Health
Had Waffles,Food
Theatre ticket monthly plan,Entertainment
Refueled with Scooter rental to the mall,Transport
Subscribed to Music album from Spotify,Entertainment
House rent - insurance company,Bills
Purchased Bike repair for weekend trip,Transport
Pharmacy purchase - gym,Health
Shopping for Electronics gadget for birthday gift,Shopping
Got a new Cap for college,Shopping
Bought Medical bill from diagnostic center,Health
Shopping for Umbrella,Shopping
Booked local garage Bus ticket,Transport
Bought university Software license for study,Education
Renewed E-book purchase from local cinema,Entertainment
Breakfast at Samosa,Food
Ordered hotel restaurant Groceries,Food
Had Sushi,Food
Shopping for Socks from online store,Shopping
Sweater for May,Shopping
Took out Hot dog from Subway,Food
Shopping for Makeup kit from outlet store,Shopping
Got a new Shoes for office,Shopping
Snack at Dal bhat,Food
Paid for Pharmacy purchase routine visit,Health
Booked Steam purchase from Netflix,Entertainment
Purchased Tire replacement to the mall,Transport
Subscribed to Steam purchase from PlayStation,Entertainment
Diesel - local garage,Transport
Scooter rental to home,Transport
Paid for Movie ticket from Spotify,Entertainment
Paid for Smoothie on the way home,Food
Toll fee from petrol pump,Transport
local cinema Amazon Prime membership,Entertainment
Had Fruits,Food
Ordered Fried rice from Foodmandu,Food
Went for diagnostic center Lab test,Health
Paid for Dumplings,Food
Charger - outlet store,Shopping
Paid for Chicken curry,Food
Ordered Curtains from Amazon,Shopping
Booked local cinema Netflix subscription,Entertainment
Used Taxi fare from Sajha Yatayat,Transport
Snack at Ice cream from McDonald's,Food
Bought Surgery cost from pharmacy,Health
Biryani for September,Food
Subscribed to Steam Arcade tokens,Entertainment
Necklace seasonal sale,Shopping
Booked Sajha Yatayat Car rental,Transport
Software license for study for April,Education
Paid for Grilled fish from Wow Momo,Food
Purchased gas station Bike repair,Transport
Power bank,Shopping
Stand-up comedy show for May,Entertainment
Snack at Tea after work,Food
Ordered Sneakers seasonal sale,Shopping
Subscribed to Amazon Prime membership monthly plan,Entertainment
Took a Petrol from petrol pump,Transport
Used Parking fee from local garage,Transport
Enrolled in School books from local college,Education
Monthly utility company Home loan installment,Bills
Auto rickshaw fare for May,Transport
Settled NEA Property tax,Bills
Settled local ISP Internet bill,Bills
Renewed Board game premium plan,Entertainment
College supplies - library,Education
Purchased new Phone case for college,Shopping
Movie ticket for November,Entertainment
Bought Online course from university,Education
Got a new Belt for birthday gift,Shopping
Subscribed to Music album from Disney+,Entertainment
Shopping for Backpack from local mall,Shopping
Purchased new Curtains from outlet store,Shopping
Medical bill for November,Health
Bought Spotify subscription annual plan,Entertainment
Purchased Train ticket from Uber,Transport
Sunglasses - shopping center,Shopping
Purchased Pathao Parking fee,Transport
Gas cylinder for March,Bills
Bought Video game purchase from Spotify,Entertainment
Paid for boutique Jacket,Shopping
Sandwich for October,Food
Paid Cable TV bill annual payment,Bills
Programming course for December,Education
Online course - local college,Education
Dinner at Bread from Domino's,Food
Thesis printing for July,Education
Toll fee downtown,Transport
Bought Textbooks from coaching center,Education
Paid for Tootle Car rental,Transport
Bought Chowmein from KFC,Food
Got a new outlet store Curtains,Shopping
Paid for Train ticket from InDrive,Transport
Paid for utility company Water tank refill,Bills
Paid for Bag from boutique,Shopping
Cleared Electricity bill from utility company,Bills
Ordered dhaba Waffles,Food
Paid for Daraz Sneakers,Shopping
French fries - campus canteen,Food
Purchased new Laptop bag from Amazon,Shopping
Cleared Credit card payment from NEA,Bills
Went for Yoga class fee checkup,Health
Paid for bank Society fee,Bills
Kitchenware seasonal sale,Shopping
Enrolled in College fee from library,Education
Bought Amazon Prime YouTube Premium,Entertainment
Paid for Foodmandu Thukpa,Food
Uber Metro card recharge,Transport
Bought Pharmacy purchase from pharmacy,Health
Went for Medicine from local clinic,Health
Breakfast at Starbucks Milkshake,Food
Paid for Disney+ subscription weekend outing,Entertainment
Bought Coursera School books,Education
Cleared Internet bill from bank,Bills
Took out Ice cream,Food
Car service - local garage,Transport
Paid utility company Electricity bill,Bills
Cleared insurance company House rent,Bills
Shopping for Necklace online order,Shopping
Cleared Internet bill from utility company,Bills
Paid for Yoga class fee emergency visit,Health
Purchased Parking fee from Tootle,Transport
Paid for WiFi payment from bank,Bills
Bought Electronics gadget seasonal sale,Shopping
Bought Health insurance premium from pharmacy,Health
Purchased new Watch from outlet store,Shopping
Purchased new Sweater from shopping center,Shopping
Spotify subscription for September,Entertainment
Ordered Shoes from Amazon,Shopping
Bought Waffles for the party,Food
Ordered Cake from restaurant,Food
Ordered Sunglasses from shopping center,Shopping
Bought Doctor appointment emergency visit,Health
gas station Bus ticket,Transport
Paid for Hospital bill from wellness center,Health
Bought Amusement park ticket from Spotify,Entertainment
Used Bike wash downtown,Transport
Went for Blood test checkup,Health
Paid for outlet store Backpack,Shopping
Bought KFC Thukpa,Food
Lunch at Pizza from Starbucks,Food
Paid for Streaming service monthly plan,Entertainment
Textbooks for April,Education
Paid for Garbage collection fee,Bills
Subscribed to Theatre ticket from local cinema,Entertainment
Paid for Sneakers for birthday gift,Shopping
Settled Apartment rent this month,Bills
Dal bhat for May,Food
YouTube Arcade tokens,Entertainment
Paid for street food stall French fries,Food
Settled Water tank refill quarterly payment,Bills
Spotify subscription for August,Entertainment
Bought Perfume from Amazon,Shopping
Paid Udemy Seminar fee,Education
Booked wellness center Health checkup,Health
Subscribed to Disney+ Stand-up comedy show,Entertainment
Bought Medicine from pharmacy,Health
Burger for April,Food
Enrolled in School books from bookstore,Education
Paid for Cake at office,Food
Went for hospital Medical bill,Health
Monthly landlord Garbage collection fee,Bills
Perfume for March,Shopping
Booked Taxi fare to home,Transport
Purchased Samosa from Foodmandu,Food
Registered for Udemy Programming course,Education
Snacks for October,Food
Purchased new Makeup kit seasonal sale,Shopping
Paid Maintenance fee,Bills
Shopping for Kitchenware for birthday gift,Shopping
Steam purchase for June,Entertainment
Used Ride share to hospital,Transport
Vegetables - KFC,Food
Got a new Furniture piece for birthday gift,Shopping
Bought Xbox Game Pass Video game purchase,Entertainment
Lunch at Rice bag,Food
Refueled with Uber ride to office,Transport
Subscribed to Theatre ticket from PlayStation,Entertainment
Bought Belt from Daraz,Shopping
Paid for Theatre ticket family plan,Entertainment
Paid for PlayStation Movie ticket,Entertainment
Shopping for Backpack,Shopping
Power bank for April,Shopping
Water tank refill for March,Bills
Paid for Mobile recharge for the house,Bills
Visited for pharmacy Lab test,Health
Monthly insurance company Maintenance fee,Bills
Subscribed to PlayStation Plus from PlayStation,Entertainment
Subscribed to Comic book with friends,Entertainment
Paid for Netflix PlayStation Plus,Entertainment
Paid for Mobile recharge from utility company,Bills
Renewed Netflix subscription from Spotify,Entertainment
Dinner at Smoothie from Subway,Food
Bought PlayStation Plus weekend outing,Entertainment
Purchased Vegetables on the way home,Food
Vegetables for November,Food
Purchased coaching center Library fine,Education
Subscribed to PlayStation Video game purchase,Entertainment
Perfume for June,Shopping
Paid University fee from Udemy,Education
Bag from local mall,Shopping
Paid for pharmacy Medical bill,Health
Purchased new Daraz Makeup kit,Shopping
Gaming subscription from Disney+,Entertainment
Took out Dal bhat,Food
Grabbed Subway Falafel,Food
Ride share - Tootle,Transport
Subscribed to Netflix Netflix subscription,Entertainment
Electricity bill for September,Bills
Perfume for office,Shopping
Painkillers - local clinic,Health
Booked Health insurance premium routine visit,Health
Exam fee for February,Education
Paid for local garage Ride share,Transport
Grabbed Cooking oil from Foodmandu,Food
Netflix subscription for October,Entertainment
Purchased Cake after work,Food
Booked Streaming service from Netflix,Entertainment
Stationery - library,Education
Ordered shopping center Jacket,Shopping
Paid local ISP Garbage collection fee,Bills
Purchased Steam purchase from Xbox Game Pass,Entertainment
Got a new Shoes seasonal sale,Shopping
Booked Lab test from diagnostic center,Health
Purchased Music album from Spotify,Entertainment
Got a new Curtains seasonal sale,Shopping
Booked Medicine emergency visit,Health
Purchased Tea from Foodmandu,Food
Cable TV bill,Bills
Pathao ride - Tootle,Transport
Paid for Medicine emergency visit,Health
Settled Loan EMI this month,Bills
Went for Hospital bill routine visit,Health
Paid for Health checkup from wellness center,Health
Renewed Bowling session from Steam,Entertainment
Ordered Kitchenware for college,Shopping
Comic book monthly plan,Entertainment
Lunch at Domino's French fries,Food
Purchased KFC Ramen,Food
Purchased Milkshake from McDonald's,Food
Booked PlayStation Plus from Netflix,Entertainment
Bought College tuition annual fee,Education
Refueled with Sajha Yatayat Ride share,Transport
Monthly NEA Maintenance fee,Bills
Subscribed to Cinema ticket from Amazon Prime,Entertainment
Ordered Sneakers for office,Shopping
Purchased InDrive Vehicle insurance,Transport
Bought Hospital bill from gym,Health
Took a Sajha Yatayat Bike fuel,Transport
Renewed Amusement park ticket from Disney+,Entertainment
Paid for Bike repair for a trip,Transport
Purchased Fuel station from Sajha Yatayat,Transport
Lab test for January,Health
Subscribed to Xbox Game Pass Music album,Entertainment
Dinner at Cooking oil,Food
Seminar fee for November,Education
Monthly Property tax from local ISP,Bills
Booked Medical bill from pharmacy,Health
Bought Pancakes during break,Food
Shopping for Shirt from boutique,Shopping
Bought Bread,Food
Grabbed Smoothie from local bakery,Food
Shopping for Laptop bag from Daraz,Shopping
Bought Xbox Game Pass Theatre ticket,Entertainment
Paid for Socks from online store,Shopping
Paid for Steam purchase from YouTube,Entertainment
Study materials,Education
Phone bill for September,Bills
Renewed E-book purchase monthly plan,Entertainment
Paid for boutique Shoes,Shopping
Video game purchase from Spotify,Entertainment
Paid for Bedsheet from outlet store,Shopping
Pathao ride airport transfer,Transport
Paid for Dal bhat on the way home,Food
Bought Disney+ subscription from YouTube,Entertainment
Purchased Video game purchase from Disney+,Entertainment
Recharged Car service for weekend trip,Transport
Recharged Helmet purchase from Pathao,Transport
Used Diesel for weekend trip,Transport
Bought Gym membership checkup,Health
Renewed YouTube Board game,Entertainment
Bought restaurant Momo,Food
Enrolled in Coursera Textbooks,Education
Paid Project materials annual fee,Education
Ordered online store Umbrella,Shopping
Went for pharmacy Physiotherapy session,Health
Bus ticket - Pathao,Transport
Enrolled in Programming course for the workshop,Education
Breakfast at Dosa after work,Food
Bought Sunglasses from outlet store,Shopping
Took out Wow Momo Waffles,Food
Had Tea from KFC,Food
Took a Diesel airport transfer,Transport
Got a new shopping center Curtains,Shopping
Cleared Water bill this month,Bills
Monthly Phone bill this month,Bills
Bubble tea for January,Food
Xbox Game Pass Cinema ticket,Entertainment
Bought Stationery from Udemy,Education
Monthly Water tank refill from NEA,Bills
Breakfast at Milkshake,Food
Library fine for January,Education
Ordered campus canteen Groceries,Food
Painkillers - wellness center,Health
Bought Headphones from shopping center,Shopping
Shopping for Kitchenware,Shopping
Paid for Grilled fish at office,Food
Amusement park ticket from Steam,Entertainment
Got a new online store Perfume,Shopping
Bought diagnostic center Dental treatment,Health
Board game annual plan,Entertainment
Paid for Spotify Amusement park ticket,Entertainment
Paid for Tire replacement to home,Transport
Bought Jeans from outlet store,Shopping
Monthly Garbage collection fee this month,Bills
Lunch at KFC French fries,Food
Paid for Helmet purchase from petrol pump,Transport
Dinner at Ramen delivery order,Food
Dinner at Fried chicken,Food
Cleared Loan EMI from landlord,Bills
Visited for pharmacy Physiotherapy session,Health
Booked pharmacy X-ray,Health
Subscribed to Karaoke night with friends,Entertainment
Booked Amusement park ticket annual plan,Entertainment
Booked Uber Pathao ride,Transport
Paid NEA Insurance premium,Bills
Parking fee for May,Transport
Refueled with Taxi fare to the mall,Transport
Arcade tokens - Disney+,Entertainment
Renewed Steam purchase from Spotify,Entertainment
Snack at Dumplings from Foodmandu,Food
Recharged Diesel from Uber,Transport
Grabbed Ice cream after work,Food
Enrolled in library Seminar fee,Education
Paid local college University fee,Education
Subscribed to Music album from local cinema,Entertainment
Refueled with local garage Auto rickshaw fare,Transport
Steak - food court,Food
Bought Thesis printing for the course,Education
Booked Amusement park ticket,Entertainment
Got a new Bag online order,Shopping
Lunch at Sandwich,Food
Snack at Starbucks Rice bag,Food
Went for Painkillers follow-up visit,Health
Lunch at Burger from Foodmandu,Food
Enrolled in bookstore Lab fee,Education
Registered for Udemy Workshop registration,Education
Booked local cinema Bowling session,Entertainment
Electronics gadget for birthday gift,Shopping
Paid for Netflix subscription from PlayStation,Entertainment
Breakfast at Vegetables at office,Food
Snack at campus canteen Burger,Food
Purchased gas station Cab fare,Transport
Booked Ride share to college,Transport
Paid for Phone bill from insurance company,Bills
Pathao ride for September,Transport
Online course for December,Education
Paid for Chowmein with friends,Food
Purchased College supplies from Udemy,Education
Visited for hospital Medicine,Health
Paid for petrol pump Car service,Transport
Paid bank Gas cylinder,Bills
Makeup kit from Amazon,Shopping
Visited for X-ray from hospital,Health
Settled Property tax from insurance company,Bills
Purchased Steam purchase from YouTube,Entertainment
Used Taxi fare downtown,Transport
Breakfast at Dumplings,Food
Booked Bike rental to hospital,Transport
Got a new Necklace from shopping center,Shopping
Enrolled in Certification exam from Udemy,Education
Visited for Physiotherapy session from wellness center,Health
Paid for Petrol downtown,Transport
Visited for Surgery cost from local clinic,Health
Bought Power bank from online store,Shopping
Health insurance premium - diagnostic center,Health
PlayStation Plus for June,Entertainment
Refueled with InDrive Flight ticket,Transport
Paid for Gym membership,Health
Paid for Furniture piece,Shopping
Enrolled in bookstore Project materials,Education
Got a new Necklace from outlet store,Shopping
Pathao ride downtown,Transport
French fries for September,Food
Subscribed to Netflix subscription from Steam,Entertainment
Purchased Bike fuel to hospital,Transport
Shopping for online store Furniture piece,Shopping
Monthly NEA Mobile recharge,Bills
Bought T-shirt from local mall,Shopping
Paid Study materials from Udemy,Education
Study materials - local college,Education
Renewed Theatre ticket from YouTube,Entertainment
Bought local college Study materials,Education
Monthly Home loan installment from insurance company,Bills
Ordered Amazon Headphones,Shopping
Dental treatment for June,Health
Helmet purchase - Sajha Yatayat,Transport
Cab fare airport transfer,Transport
Bought Netflix YouTube Premium,Entertainment
Paid for Petrol from Pathao,Transport
Milk for December,Food
Paid utility company Monthly rent,Bills
Paid for Daraz Jeans,Shopping
Paid for Amusement park ticket annual plan,Entertainment
Workshop registration - bookstore,Education
Renewed Disney+ subscription with friends,Entertainment
Purchased petrol pump Helmet purchase,Transport
InDrive Train ticket,Transport
Jacket,Shopping
Refueled with Bike wash,Transport
Paid Thesis printing for the workshop,Education
Kitchenware from boutique,Shopping
Registered for College tuition from bookstore,Education
Recharged InDrive Flight ticket,Transport
Breakfast at Starbucks Steak,Food
Taxi fare from InDrive,Transport
local cinema Amusement park ticket,Entertainment
Enrolled in College fee from bookstore,Education
Lunch at Soup from street food stall,Food
Paid Loan EMI from NEA,Bills
Shopping for Socks online order,Shopping
online store Electronics gadget,Shopping
Purchased Seminar fee,Education
Bought Udemy Software license for study,Education
Had Vegetables at college,Food
Paid for landlord Society fee,Bills
Pathao ride - petrol pump,Transport
Shopping for Daraz Curtains,Shopping
Snack at Burrito from Wow Momo,Food
Chowmein - food court,Food
Health checkup for February,Health
Ordered Donuts from hotel restaurant,Food
Salad - dhaba,Food
Ordered Power bank online order,Shopping
Purchased Tire replacement to home,Transport
Bread for August,Food
Breakfast at Kebab,Food
Paid Coursera College supplies,Education
Paid for Steam Movie ticket,Entertainment
Booked Arcade tokens from YouTube,Entertainment
Refueled with Uber Bike repair,Transport
Bought Bowling session from YouTube,Entertainment
Bag for September,Shopping
Bought Jacket,Shopping
Dosa - Domino's,Food
Shopping for Makeup kit for birthday gift,Shopping
Bought Online course from local college,Education
Ordered Sunglasses from online store,Shopping
Dinner at Pizza delivery order,Food
Bike repair for September,Transport
Used Cab fare from petrol pump,Transport
Amazon Prime Steam purchase,Entertainment
Power bank for January,Shopping
Paid for utility company Gas cylinder,Bills
Purchased YouTube Premium from Steam,Entertainment
Streaming service family plan,Entertainment
Took a Pathao Uber ride,Transport
Subscribed to Disney+ subscription with friends,Entertainment
Purchased PlayStation YouTube Premium,Entertainment
Paid for Theatre ticket monthly plan,Entertainment
Paid for Cooking oil from Wow Momo,Food
Paid for local clinic Eye checkup,Health
Renewed Spotify Bowling session,Entertainment
Socks for college,Shopping
Dumplings for August,Food
Biryani - street food stall,Food
Painkillers for July,Health
Got a new Phone case from local mall,Shopping
Went for hospital Gym membership,Health
Purchased Dal bhat for the party,Food
Had Tea during break,Food
Booked Bus ticket from InDrive,Transport
Cleared Water bill from bank,Bills
Paid WiFi payment from utility company,Bills
Ordered Sandwich during break,Food
Registered for bookstore College supplies,Education
Ordered Shoes for office,Shopping
Grabbed cafe Smoothie,Food
Medical bill for October,Health
Bought Library fine from coaching center,Education
Purchased Certification exam from library,Education
Cap for January,Shopping
Earrings from local mall,Shopping
Went for wellness center Yoga class fee,Health
Settled Gas cylinder,Bills
Subscribed to Stand-up comedy show with friends,Entertainment
Went for gym Lab test,Health
Paid for local ISP WiFi payment,Bills
Took out Burger from Wow Momo,Food
Had Fried rice,Food
Renewed Karaoke night annual plan,Entertainment
Took out Ramen with family,Food
Paid for Uber ride from Uber,Transport
Got a new online store Jeans,Shopping
Paid for YouTube Comic book,Entertainment
Diesel for December,Transport
Paid for Sajha Yatayat Metro card recharge,Transport
Physiotherapy session,Health
Socks for July,Shopping
Paid Software license for study for the workshop,Education
Lunch at KFC Taco,Food
Belt - boutique,Shopping
gas station Scooter rental,Transport
Paid Water bill from insurance company,Bills
Steam purchase from Amazon Prime,Entertainment
Booked Xbox Game Pass Comic book,Entertainment
Paid for Surgery cost from diagnostic center,Health
Spotify Spotify subscription,Entertainment
Earrings seasonal sale,Shopping
Refueled with Train ticket,Transport
Paid utility company Internet bill,Bills
Went for diagnostic center Vitamin supplements,Health
Subscribed to PlayStation Plus from Disney+,Entertainment
Cinema ticket - Xbox Game Pass,Entertainment
Salad for June,Food
Enrolled in Workshop registration from library,Education
Thesis printing,Education
Headphones for August,Shopping
Got a new Kitchenware online order,Shopping
Biryani for February,Food
Went for diagnostic center Dental treatment,Health
Booked Eye checkup from wellness center,Health
Monthly rent for November,Bills
Purchased Sandwich from Domino's,Food
Subscribed to E-book purchase from Amazon Prime,Entertainment
Took a Sajha Yatayat Metro card recharge,Transport
Eggs - hotel restaurant,Food
Doctor appointment - wellness center,Health
Booked Health insurance premium checkup,Health
Arcade tokens for November,Entertainment
Lunch at campus canteen Ice cream,Food
Purchased new Wallet from local mall,Shopping
Diesel from Sajha Yatayat,Transport
Settled Credit card payment from utility company,Bills
Purchased Amazon Prime PlayStation Plus,Entertainment
Snack at Pizza Hut Dosa,Food
Dinner at Fried chicken from hotel restaurant,Food
Paid for Backpack from shopping center,Shopping
Paid for Electronics gadget seasonal sale,Shopping
Paid for Home loan installment from local ISP,Bills
Bought Blood test from hospital,Health
Purchased Karaoke night premium plan,Entertainment
Bought Netflix Gaming subscription,Entertainment
Renewed Music album,Entertainment
Paid for Steam purchase with friends,Entertainment
Paid for Necklace for office,Shopping
Had McDonald's Milkshake,Food
Paid for insurance company Cable TV bill,Bills
Paid for Xbox Game Pass Netflix subscription,Entertainment
Belt for November,Shopping
Purchased Udemy Coaching class fee,Education
Bought gym Hospital bill,Health
Renewed Streaming service from YouTube,Entertainment
Purchased new Bedsheet from Amazon,Shopping
Booked Pathao Auto rickshaw fare,Transport
Bought Jeans from local mall,Shopping
Registered for local college University fee,Education
Booked Disney+ Comic book,Entertainment
Took a Uber Pathao ride,Transport
Bread for October,Food
Purchased library Textbooks,Education
Dinner at campus canteen Taco,Food
Refueled with Cab fare from Sajha Yatayat,Transport
Ordered shopping center Curtains,Shopping
Purchased new Umbrella for office,Shopping
Jacket - Daraz,Shopping
Bought Sunglasses for birthday gift,Shopping
Booked Bike fuel to home,Transport
Flight ticket - gas station,Transport
Paid for Cable TV bill this month,Bills
Paid for Electronics gadget for office,Shopping
Paid Loan EMI for the house,Bills
Juice for December,Food
Visited for Doctor appointment from local clinic,Health
Enrolled in Thesis printing from bookstore,Education
Renewed PlayStation Plus from Netflix,Entertainment
Bought Watch from local mall,Shopping
Flight ticket - Uber,Transport
Auto rickshaw fare from Uber,Transport
Cooking oil for August,Food
Waffles - street food stall,Food
Paid for Bowling session family plan,Entertainment
Refueled with Diesel to the mall,Transport
Thesis printing for November,Education
Paid for Health checkup emergency visit,Health
Bought Udemy College supplies,Education
Refueled with gas station Bike fuel,Transport
PlayStation Plus - local cinema,Entertainment
Paid Property tax from NEA,Bills
Bought Stand-up comedy show,Entertainment
Grabbed Domino's Pastry,Food
Bought X-ray follow-up visit,Health
Went for Medical bill from local clinic,Health
Purchased Vegetables,Food
Got a new outlet store Sweater,Shopping
Took out Dal bhat from restaurant,Food
Recharged Car service from Pathao,Transport
Ordered McDonald's Sandwich,Food
Toll fee to college,Transport
Paid for Bowling session from Amazon Prime,Entertainment
Booked Amazon Prime Board game,Entertainment
Enrolled in Project materials,Education
Toll fee for September,Transport
Purchased new Watch from local mall,Shopping
Enrolled in local college College tuition,Education
Renewed local cinema Movie ticket,Entertainment
Used Cab fare,Transport
Lunch at Tea after work,Food
Bag for November,Shopping
Bag for college,Shopping
Visited for Vitamin supplements monthly,Health
Purchased Ride share from petrol pump,Transport
Cleared utility company Mobile recharge,Bills
Bike wash to hospital,Transport
Booked Vehicle insurance from Tootle,Transport
Fried chicken - food court,Food
Ordered local mall Electronics gadget,Shopping
Spotify subscription - PlayStation,Entertainment
Movie ticket for April,Entertainment
Bought Cap from online store,Shopping
Parking fee - Tootle,Transport
Subscribed to Disney+ subscription,Entertainment
Renewed Xbox Game Pass Comic book,Entertainment
Visited for Yoga class fee from gym,Health
Amusement park ticket from Spotify,Entertainment
Makeup kit for July,Shopping
Booked Stand-up comedy show from Steam,Entertainment
Ordered Cap for office,Shopping
Paid for Scooter rental from Tootle,Transport
Got a new Necklace for birthday gift,Shopping
Phone case for April,Shopping
Recharged Ride share to the mall,Transport
Breakfast at Pizza with family,Food
Subscribed to Music album weekend outing,Entertainment
Breakfast at Momo from Starbucks,Food
Ordered Makeup kit for birthday gift,Shopping
Settled Monthly rent from telecom provider,Bills
Paid Coaching class fee for the workshop,Education
Dinner at Pancakes takeaway,Food
Refueled with Fuel station from petrol pump,Transport
Paid utility company Phone bill,Bills
Booked Surgery cost routine visit,Health
Cleared landlord Monthly rent,Bills
Study materials - library,Education
Flight ticket for weekend trip,Transport
Purchased new Laptop bag from boutique,Shopping
Purchased library College supplies,Education
Ordered Sunglasses for birthday gift,Shopping
Water tank refill - landlord,Bills
Took a Parking fee to home,Transport
Paid for Daraz Wallet,Shopping
Taxi fare - Sajha Yatayat,Transport
Refueled with Auto rickshaw fare from local garage,Transport
Vegetables - cafe,Food
Purchased Amazon Prime YouTube Premium,Entertainment
Auto rickshaw fare for September,Transport
Dinner at hotel restaurant Chicken curry,Food
Online course for October,Education
Got a new Shoes from online store,Shopping
Bought Vaccination from diagnostic center,Health
Paid for Tootle Bus ticket,Transport
Bought Foodmandu Pizza,Food
Gaming subscription for May,Entertainment
Breakfast at Momo after work,Food
Purchased Dosa,Food
Maintenance fee - utility company,Bills
boutique Charger,Shopping
Laptop bag - Daraz,Shopping
Dinner at Bajeko Sekuwa Fried rice,Food
Paid for Charger for office,Shopping
Visited for gym Dental treatment,Health
Subscribed to YouTube Comic book,Entertainment
Got a new Necklace online order,Shopping
Renewed Disney+ subscription from Steam,Entertainment
Booked Toll fee from Sajha Yatayat,Transport
Recharged Pathao ride from Sajha Yatayat,Transport
Shopping for shopping center Sweater,Shopping
Bought YouTube Music album,Entertainment
Registered for College fee from university,Education
Paid for Amazon Prime Bowling session,Entertainment
Booked Concert ticket from Netflix,Entertainment
Snacks - dhaba,Food
Monthly bank Insurance premium,Bills
Vehicle insurance from Sajha Yatayat,Transport
Paid for Home loan installment from utility company,Bills
Ordered online store Electronics gadget,Shopping
Phone bill for April,Bills
Had Starbucks Salad,Food
Renewed Netflix Disney+ subscription,Entertainment
outlet store Watch,Shopping
Went for Pharmacy purchase follow-up visit,Health
Refueled with Bike rental downtown,Transport
Registered for Coursera Library fine,Education
Grabbed Chicken curry,Food
PlayStation Plus monthly plan,Entertainment
Went for local clinic Vitamin supplements,Health
Refueled with Car service from petrol pump,Transport
Took a Sajha Yatayat Toll fee,Transport
Paid for Bedsheet from Daraz,Shopping
Got a new Socks for office,Shopping
Shirt from Amazon,Shopping
Lunch at Salad,Food
Renewed Xbox Game Pass Spotify subscription,Entertainment
Bought Health insurance premium emergency visit,Health
Snack at Ramen from Burger King,Food
Earrings - Amazon,Shopping
Registered for local college School books,Education
Booked YouTube Premium monthly plan,Entertainment
College supplies,Education
Taxi fare - gas station,Transport
Purchased Pathao Scooter rental,Transport
Booked Lab test from pharmacy,Health
Ordered boutique Belt,Shopping
Booked Pathao ride to college,Transport
Renewed E-book purchase from Spotify,Entertainment
Bought Blood test from gym,Health
Car service - Tootle,Transport
Took out Chicken curry,Food
Purchased Scooter rental from gas station,Transport
Visited for Hospital bill monthly,Health
Visited for Yoga class fee emergency visit,Health
Karaoke night - Steam,Entertainment
Shopping for outlet store Laptop bag,Shopping
Samosa - street food stall,Food
Had hotel restaurant Grilled fish,Food
Settled Internet bill for the house,Bills
